URL,Status,CSS-Selector,Impressum erkannt
https://www.schnell.berlin/impressum,404,None,NEIN
https://www.schnell.berlin/impressum.html,200,footer,JA
https://www.kaiserkraft.de/impressum,200,footer,JA
https://www.grueneerde.com/impressum,404,None,NEIN
https://www.grueneerde.com/impressum.html,200,footer,JA
https://www.tonerpartner.de/impressum,200,None,NEIN
https://www.tonerpartner.de/impressum.html,404,None,NEIN
https://www.tonerpartner.de/legal-notice,404,None,NEIN
https://www.tonerpartner.de/kontakt/impressum,404,None,NEIN
https://www.tonerpartner.de/de/legal/impressum,404,None,NEIN
https://www.tonerpartner.de/tonerpartner-impressum/,404,None,NEIN
https://www.tonerpartner.de/de/impressum,404,None,NEIN
https://www.tonerpartner.de/impressum-de,404,None,NEIN
https://www.tonerpartner.de/impressum-datenschutz,404,None,NEIN
https://www.tonerpartner.de/unternehmen/impressum,404,None,NEIN
https://www.tonerpartner.de/site/impressum,404,None,NEIN
https://www.tonerpartner.de/footer/impressum,404,None,NEIN
https://www.tonerpartner.de/kontakt/impressum.html,404,None,NEIN
https://www.tonerpartner.de/about/impressum,404,None,NEIN
https://www.tonerpartner.de/info/impressum,404,None,NEIN
https://www.tonerpartner.de/legal/impressum,404,None,NEIN
https://www.tonerpartner.de/imprint,404,None,NEIN
https://www.tonerpartner.de/ueber-uns/impressum,404,None,NEIN
https://www.tonerpartner.de/pages/impressum,404,None,NEIN
https://www.tonerpartner.de/impressum-und-datenschutz,404,None,NEIN
https://www.tonerpartner.de/rechtliches/impressum,404,None,NEIN
https://www.tonerpartner.de/rechtliches/impressum.html,404,None,NEIN
https://www.tonerpartner.de/s/impressum,404,None,NEIN
https://www.tonerpartner.de/de/service/imprint/,404,None,NEIN
https://www.herrenausstatter.de/impressum,200,footer,JA
https://www.breuninger.com/impressum,404,None,NEIN
https://www.breuninger.com/impressum.html,404,None,NEIN
https://www.breuninger.com/legal-notice,404,None,NEIN
https://www.breuninger.com/kontakt/impressum,404,None,NEIN
https://www.breuninger.com/de/legal/impressum,404,None,NEIN
https://www.breuninger.com/breuninger-impressum/,404,None,NEIN
https://www.breuninger.com/de/impressum,404,None,NEIN
https://www.breuninger.com/impressum-de,404,None,NEIN
https://www.breuninger.com/impressum-datenschutz,404,None,NEIN
https://www.breuninger.com/unternehmen/impressum,404,None,NEIN
https://www.breuninger.com/site/impressum,404,None,NEIN
https://www.breuninger.com/footer/impressum,404,None,NEIN
https://www.breuninger.com/kontakt/impressum.html,404,None,NEIN
https://www.breuninger.com/about/impressum,404,None,NEIN
https://www.breuninger.com/info/impressum,404,None,NEIN
https://www.breuninger.com/legal/impressum,404,None,NEIN
https://www.breuninger.com/imprint,404,None,NEIN
https://www.breuninger.com/ueber-uns/impressum,404,None,NEIN
https://www.breuninger.com/pages/impressum,404,None,NEIN
https://www.breuninger.com/impressum-und-datenschutz,404,None,NEIN
https://www.breuninger.com/rechtliches/impressum,404,None,NEIN
https://www.breuninger.com/rechtliches/impressum.html,404,None,NEIN
https://www.breuninger.com/s/impressum,404,None,NEIN
https://www.breuninger.com/de/service/imprint/,200,footer,JA
https://www.memolife.de/impressum,200,footer,JA
https://www.natur.com/impressum,200,None,NEIN
https://www.natur.com/impressum.html,404,None,NEIN
https://www.natur.com/legal-notice,404,None,NEIN
https://www.natur.com/kontakt/impressum,404,None,NEIN
https://www.natur.com/de/legal/impressum,404,None,NEIN
https://www.natur.com/natur-impressum/,404,None,NEIN
https://www.natur.com/de/impressum,404,None,NEIN
https://www.natur.com/impressum-de,404,None,NEIN
https://www.natur.com/impressum-datenschutz,404,None,NEIN
https://www.natur.com/unternehmen/impressum,404,None,NEIN
https://www.natur.com/site/impressum,404,None,NEIN
https://www.natur.com/footer/impressum,404,None,NEIN
https://www.natur.com/kontakt/impressum.html,404,None,NEIN
https://www.natur.com/about/impressum,404,None,NEIN
https://www.natur.com/info/impressum,404,None,NEIN
https://www.natur.com/legal/impressum,404,None,NEIN
https://www.natur.com/imprint,404,None,NEIN
https://www.natur.com/ueber-uns/impressum,404,None,NEIN
https://www.natur.com/pages/impressum,404,None,NEIN
https://www.natur.com/impressum-und-datenschutz,404,None,NEIN
https://www.natur.com/rechtliches/impressum,404,None,NEIN
https://www.natur.com/rechtliches/impressum.html,404,None,NEIN
https://www.natur.com/s/impressum,404,None,NEIN
https://www.natur.com/de/service/imprint/,404,None,NEIN
https://www.holzfarm.de/impressum,404,None,NEIN
https://www.holzfarm.de/impressum.html,404,None,NEIN
https://www.holzfarm.de/legal-notice,404,None,NEIN
https://www.holzfarm.de/kontakt/impressum,200,div.footer,JA
https://www.bergfreunde.de/impressum,200,footer,JA
https://www.manufactum.de/impressum,200,address,JA
gerstaecker.de/impressum,Fehler,None,NEIN
gerstaecker.de/impressum.html,Fehler,None,NEIN
gerstaecker.de/legal-notice,Fehler,None,NEIN
gerstaecker.de/kontakt/impressum,Fehler,None,NEIN
gerstaecker.de/de/legal/impressum,Fehler,None,NEIN
gerstaecker.de/-impressum/,Fehler,None,NEIN
gerstaecker.de/de/impressum,Fehler,None,NEIN
gerstaecker.de/impressum-de,Fehler,None,NEIN
gerstaecker.de/impressum-datenschutz,Fehler,None,NEIN
gerstaecker.de/unternehmen/impressum,Fehler,None,NEIN
gerstaecker.de/site/impressum,Fehler,None,NEIN
gerstaecker.de/footer/impressum,Fehler,None,NEIN
gerstaecker.de/kontakt/impressum.html,Fehler,None,NEIN
gerstaecker.de/about/impressum,Fehler,None,NEIN
gerstaecker.de/info/impressum,Fehler,None,NEIN
gerstaecker.de/legal/impressum,Fehler,None,NEIN
gerstaecker.de/imprint,Fehler,None,NEIN
gerstaecker.de/ueber-uns/impressum,Fehler,None,NEIN
gerstaecker.de/pages/impressum,Fehler,None,NEIN
gerstaecker.de/impressum-und-datenschutz,Fehler,None,NEIN
gerstaecker.de/rechtliches/impressum,Fehler,None,NEIN
gerstaecker.de/rechtliches/impressum.html,Fehler,None,NEIN
gerstaecker.de/s/impressum,Fehler,None,NEIN
gerstaecker.de/de/service/imprint/,Fehler,None,NEIN
idee-shop.com/impressum,Fehler,None,NEIN
idee-shop.com/impressum.html,Fehler,None,NEIN
idee-shop.com/legal-notice,Fehler,None,NEIN
idee-shop.com/kontakt/impressum,Fehler,None,NEIN
idee-shop.com/de/legal/impressum,Fehler,None,NEIN
idee-shop.com/-impressum/,Fehler,None,NEIN
idee-shop.com/de/impressum,Fehler,None,NEIN
idee-shop.com/impressum-de,Fehler,None,NEIN
idee-shop.com/impressum-datenschutz,Fehler,None,NEIN
idee-shop.com/unternehmen/impressum,Fehler,None,NEIN
idee-shop.com/site/impressum,Fehler,None,NEIN
idee-shop.com/footer/impressum,Fehler,None,NEIN
idee-shop.com/kontakt/impressum.html,Fehler,None,NEIN
idee-shop.com/about/impressum,Fehler,None,NEIN
idee-shop.com/info/impressum,Fehler,None,NEIN
idee-shop.com/legal/impressum,Fehler,None,NEIN
idee-shop.com/imprint,Fehler,None,NEIN
idee-shop.com/ueber-uns/impressum,Fehler,None,NEIN
idee-shop.com/pages/impressum,Fehler,None,NEIN
idee-shop.com/impressum-und-datenschutz,Fehler,None,NEIN
idee-shop.com/rechtliches/impressum,Fehler,None,NEIN
idee-shop.com/rechtliches/impressum.html,Fehler,None,NEIN
idee-shop.com/s/impressum,Fehler,None,NEIN
idee-shop.com/de/service/imprint/,Fehler,None,NEIN
boesner.com/impressum,Fehler,None,NEIN
boesner.com/impressum.html,Fehler,None,NEIN
boesner.com/legal-notice,Fehler,None,NEIN
boesner.com/kontakt/impressum,Fehler,None,NEIN
boesner.com/de/legal/impressum,Fehler,None,NEIN
boesner.com/-impressum/,Fehler,None,NEIN
boesner.com/de/impressum,Fehler,None,NEIN
boesner.com/impressum-de,Fehler,None,NEIN
boesner.com/impressum-datenschutz,Fehler,None,NEIN
boesner.com/unternehmen/impressum,Fehler,None,NEIN
boesner.com/site/impressum,Fehler,None,NEIN
boesner.com/footer/impressum,Fehler,None,NEIN
boesner.com/kontakt/impressum.html,Fehler,None,NEIN
boesner.com/about/impressum,Fehler,None,NEIN
boesner.com/info/impressum,Fehler,None,NEIN
boesner.com/legal/impressum,Fehler,None,NEIN
boesner.com/imprint,Fehler,None,NEIN
boesner.com/ueber-uns/impressum,Fehler,None,NEIN
boesner.com/pages/impressum,Fehler,None,NEIN
boesner.com/impressum-und-datenschutz,Fehler,None,NEIN
boesner.com/rechtliches/impressum,Fehler,None,NEIN
boesner.com/rechtliches/impressum.html,Fehler,None,NEIN
boesner.com/s/impressum,Fehler,None,NEIN
boesner.com/de/service/imprint/,Fehler,None,NEIN
kunstpark-shop.de/impressum,Fehler,None,NEIN
kunstpark-shop.de/impressum.html,Fehler,None,NEIN
kunstpark-shop.de/legal-notice,Fehler,None,NEIN
kunstpark-shop.de/kontakt/impressum,Fehler,None,NEIN
kunstpark-shop.de/de/legal/impressum,Fehler,None,NEIN
kunstpark-shop.de/-impressum/,Fehler,None,NEIN
kunstpark-shop.de/de/impressum,Fehler,None,NEIN
kunstpark-shop.de/impressum-de,Fehler,None,NEIN
kunstpark-shop.de/impressum-datenschutz,Fehler,None,NEIN
kunstpark-shop.de/unternehmen/impressum,Fehler,None,NEIN
kunstpark-shop.de/site/impressum,Fehler,None,NEIN
kunstpark-shop.de/footer/impressum,Fehler,None,NEIN
kunstpark-shop.de/kontakt/impressum.html,Fehler,None,NEIN
kunstpark-shop.de/about/impressum,Fehler,None,NEIN
kunstpark-shop.de/info/impressum,Fehler,None,NEIN
kunstpark-shop.de/legal/impressum,Fehler,None,NEIN
kunstpark-shop.de/imprint,Fehler,None,NEIN
kunstpark-shop.de/ueber-uns/impressum,Fehler,None,NEIN
kunstpark-shop.de/pages/impressum,Fehler,None,NEIN
kunstpark-shop.de/impressum-und-datenschutz,Fehler,None,NEIN
kunstpark-shop.de/rechtliches/impressum,Fehler,None,NEIN
kunstpark-shop.de/rechtliches/impressum.html,Fehler,None,NEIN
kunstpark-shop.de/s/impressum,Fehler,None,NEIN
kunstpark-shop.de/de/service/imprint/,Fehler,None,NEIN
modulor.de/impressum,Fehler,None,NEIN
modulor.de/impressum.html,Fehler,None,NEIN
modulor.de/legal-notice,Fehler,None,NEIN
modulor.de/kontakt/impressum,Fehler,None,NEIN
modulor.de/de/legal/impressum,Fehler,None,NEIN
modulor.de/-impressum/,Fehler,None,NEIN
modulor.de/de/impressum,Fehler,None,NEIN
modulor.de/impressum-de,Fehler,None,NEIN
modulor.de/impressum-datenschutz,Fehler,None,NEIN
modulor.de/unternehmen/impressum,Fehler,None,NEIN
modulor.de/site/impressum,Fehler,None,NEIN
modulor.de/footer/impressum,Fehler,None,NEIN
modulor.de/kontakt/impressum.html,Fehler,None,NEIN
modulor.de/about/impressum,Fehler,None,NEIN
modulor.de/info/impressum,Fehler,None,NEIN
modulor.de/legal/impressum,Fehler,None,NEIN
modulor.de/imprint,Fehler,None,NEIN
modulor.de/ueber-uns/impressum,Fehler,None,NEIN
modulor.de/pages/impressum,Fehler,None,NEIN
